date,n_obs,sum_sq,coverage_ratio,is_complete_missing,is_partial_missing,rv_scaled_sum_sq,RV,coin
2017-09-06 00:00:00+00:00,205,0.0053357328907236296,0.7118055555555556,False,True,0.007496054012333685,,ETH
2017-09-07 00:00:00+00:00,288,0.0034269410230711346,1.0,False,False,0.0034269410230711346,0.0034269410230711346,ETH
2017-09-08 00:00:00+00:00,288,0.022168736538803226,1.0,False,False,0.022168736538803226,0.022168736538803226,ETH
2017-09-09 00:00:00+00:00,288,0.012354640967432497,1.0,False,False,0.012354640967432497,0.012354640967432497,ETH
2017-09-10 00:00:00+00:00,288,0.015213652632560488,1.0,False,False,0.01521365263256049,0.01521365263256049,ETH
2017-09-11 00:00:00+00:00,288,0.004927605006053823,1.0,False,False,0.004927605006053823,0.004927605006053823,ETH
2017-09-12 00:00:00+00:00,288,0.004377968882313513,1.0,False,False,0.004377968882313513,0.004377968882313513,ETH
2017-09-13 00:00:00+00:00,288,0.009810031217829038,1.0,False,False,0.009810031217829038,0.009810031217829038,ETH
2017-09-14 00:00:00+00:00,288,0.021539457678979676,1.0,False,False,0.021539457678979676,0.021539457678979676,ETH
2017-09-15 00:00:00+00:00,288,0.0662698977075278,1.0,False,False,0.0662698977075278,0.0662698977075278,ETH
2017-09-16 00:00:00+00:00,288,0.020197374868084296,1.0,False,False,0.020197374868084296,0.020197374868084296,ETH
2017-09-17 00:00:00+00:00,288,0.007581569922267805,1.0,False,False,0.0075815699222678045,0.0075815699222678045,ETH
2017-09-18 00:00:00+00:00,288,0.007821083580558,1.0,False,False,0.007821083580558,0.007821083580558,ETH
2017-09-19 00:00:00+00:00,288,0.0076965668657575734,1.0,False,False,0.007696566865757574,0.007696566865757574,ETH
2017-09-20 00:00:00+00:00,288,0.0028713998222872025,1.0,False,False,0.0028713998222872025,0.0028713998222872025,ETH
2017-09-21 00:00:00+00:00,288,0.006583280428320515,1.0,False,False,0.006583280428320515,0.006583280428320515,ETH
2017-09-22 00:00:00+00:00,288,0.005176844399893347,1.0,False,False,0.005176844399893347,0.005176844399893347,ETH
2017-09-23 00:00:00+00:00,288,0.004397207945834424,1.0,False,False,0.004397207945834424,0.004397207945834424,ETH
2017-09-24 00:00:00+00:00,288,0.004613098710245208,1.0,False,False,0.004613098710245208,0.004613098710245208,ETH
2017-09-25 00:00:00+00:00,288,0.0034098113083068666,1.0,False,False,0.0034098113083068666,0.0034098113083068666,ETH
2017-09-26 00:00:00+00:00,288,0.002041220850583656,1.0,False,False,0.002041220850583656,0.002041220850583656,ETH
2017-09-27 00:00:00+00:00,288,0.0032093070343851616,1.0,False,False,0.0032093070343851616,0.0032093070343851616,ETH
2017-09-28 00:00:00+00:00,288,0.0023980511083807783,1.0,False,False,0.0023980511083807783,0.0023980511083807783,ETH
2017-09-29 00:00:00+00:00,288,0.004443365155718047,1.0,False,False,0.004443365155718047,0.004443365155718047,ETH
2017-09-30 00:00:00+00:00,288,0.0026673468540171015,1.0,False,False,0.0026673468540171015,0.0026673468540171015,ETH
2017-10-01 00:00:00+00:00,288,0.001243880083779542,1.0,False,False,0.001243880083779542,0.001243880083779542,ETH
2017-10-02 00:00:00+00:00,288,0.001755164758457004,1.0,False,False,0.001755164758457004,0.001755164758457004,ETH
2017-10-03 00:00:00+00:00,288,0.002176252133419723,1.0,False,False,0.002176252133419723,0.002176252133419723,ETH
2017-10-04 00:00:00+00:00,288,0.0018224131485907401,1.0,False,False,0.00182241314859074,0.00182241314859074,ETH
2017-10-05 00:00:00+00:00,288,0.0017746704971371061,1.0,False,False,0.001774670497137106,0.001774670497137106,ETH
2017-10-06 00:00:00+00:00,288,0.00105969928617576,1.0,False,False,0.00105969928617576,0.00105969928617576,ETH
2017-10-07 00:00:00+00:00,288,0.0013246399361118216,1.0,False,False,0.0013246399361118216,0.0013246399361118216,ETH
2017-10-08 00:00:00+00:00,288,0.001059000943608356,1.0,False,False,0.001059000943608356,0.001059000943608356,ETH
